municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CRICIÚMA;420460802A;SC;Imigrantes;-28,67737;-49,32561;2023-07-02 16:40:00.0;0,00
CRICIÚMA;420460802A;SC;Imigrantes;-28,67737;-49,32561;2023-07-04 15:30:00.0;0,00
CRICIÚMA;420460802A;SC;Imigrantes;-28,67737;-49,32561;2023-07-05 13:00:00.0;0,00
CRICIÚMA;420460802A;SC;Imigrantes;-28,67737;-49,32561;2023-07-05 14:30:00.0;0,00
CRICIÚMA;420460802A;SC;Imigrantes;-28,67737;-49,32561;2023-07-05 16:10:00.0;0,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-01 00:10:00.0;0,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-07 17:20:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-07 17:30:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-07 17:40:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-07 17:50:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-07 18:00:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-07 18:30:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-07 22:10:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-07 23:40:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 01:30:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 01:40:00.0;6,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 01:50:00.0;4,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 02:00:00.0;1,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 02:10:00.0;2,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 02:20:00.0;1,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 02:30:00.0;1,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 02:40:00.0;0,80
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 02:50:00.0;1,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 03:00:00.0;1,80
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 03:10:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 03:20:00.0;0,80
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 03:30:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 03:40:00.0;0,80
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 03:50:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 04:00:00.0;0,80
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 04:10:00.0;1,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 04:20:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 04:30:00.0;1,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 04:40:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 04:50:00.0;1,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 05:00:00.0;1,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-08 05:10:00.0;1,20
